create log ==> ../tumor_data/classification_train_dataset/log_03302255auto/log_03302255.txt
========================================================
 BACKBONE : autoencoder
========================================================
MODEL SETTING
python version : 3.7.5 (default, Oct 25 2019, 15:51:11)  [GCC 7.3.0]
torch  version : 1.3.1
cudnn  version : 7603
========================================================
teacher backbone : autoencoder
dataset : tumor
batch size : 128
epochs : 500
========================================================
Save model | best loss : 0.0184
epoch:000 | step:129 | train loss:0.0184
Save model | best loss : 0.0146
epoch:001 | step:129 | train loss:0.0146
Save model | best loss : 0.0127
epoch:002 | step:129 | train loss:0.0127
epoch:003 | step:129 | train loss:0.0184
Save model | best loss : 0.0102
epoch:004 | step:129 | train loss:0.0102
Save model | best loss : 0.0094
epoch:005 | step:129 | train loss:0.0094
epoch:006 | step:129 | train loss:0.0113
epoch:007 | step:129 | train loss:0.0131
epoch:008 | step:129 | train loss:0.0104
epoch:009 | step:129 | train loss:0.0105
epoch:010 | step:129 | train loss:0.0095
Save model | best loss : 0.0083
epoch:011 | step:129 | train loss:0.0083
epoch:012 | step:129 | train loss:0.0112
epoch:013 | step:129 | train loss:0.0098
epoch:014 | step:129 | train loss:0.0111
epoch:015 | step:129 | train loss:0.0098
epoch:016 | step:129 | train loss:0.0085
epoch:017 | step:129 | train loss:0.0145
epoch:018 | step:129 | train loss:0.0098
epoch:019 | step:129 | train loss:0.0114
epoch:020 | step:129 | train loss:0.0108
epoch:021 | step:129 | train loss:0.0093
epoch:022 | step:129 | train loss:0.0126
epoch:023 | step:129 | train loss:0.0089
epoch:024 | step:129 | train loss:0.0162
epoch:025 | step:129 | train loss:0.0097
epoch:026 | step:129 | train loss:0.0122
epoch:027 | step:129 | train loss:0.0094
epoch:028 | step:129 | train loss:0.0095
epoch:029 | step:129 | train loss:0.0161
epoch:030 | step:129 | train loss:0.0087
epoch:031 | step:129 | train loss:0.0100
epoch:032 | step:129 | train loss:0.0090
Save model | best loss : 0.0081
epoch:033 | step:129 | train loss:0.0081
epoch:034 | step:129 | train loss:0.0085
epoch:035 | step:129 | train loss:0.0121
epoch:036 | step:129 | train loss:0.0132
epoch:037 | step:129 | train loss:0.0146
epoch:038 | step:129 | train loss:0.0103
epoch:039 | step:129 | train loss:0.0095
epoch:040 | step:129 | train loss:0.0085
Save model | best loss : 0.0080
epoch:041 | step:129 | train loss:0.0080
epoch:042 | step:129 | train loss:0.0096
epoch:043 | step:129 | train loss:0.0084
epoch:044 | step:129 | train loss:0.0106
epoch:045 | step:129 | train loss:0.0102
epoch:046 | step:129 | train loss:0.0164
epoch:047 | step:129 | train loss:0.0089
epoch:048 | step:129 | train loss:0.0101
epoch:049 | step:129 | train loss:0.0101
epoch:050 | step:129 | train loss:0.0095
epoch:051 | step:129 | train loss:0.0120
epoch:052 | step:129 | train loss:0.0083
epoch:053 | step:129 | train loss:0.0153
epoch:054 | step:129 | train loss:0.0101
epoch:055 | step:129 | train loss:0.0083
epoch:056 | step:129 | train loss:0.0095
epoch:057 | step:129 | train loss:0.0090
epoch:058 | step:129 | train loss:0.0161
epoch:059 | step:129 | train loss:0.0111
epoch:060 | step:129 | train loss:0.0101
epoch:061 | step:129 | train loss:0.0130
epoch:062 | step:129 | train loss:0.0089
epoch:063 | step:129 | train loss:0.0186
epoch:064 | step:129 | train loss:0.0092
epoch:065 | step:129 | train loss:0.0096
